"","NAME","PROGRAM.IDENTIFIER","INSPECTION.DATE","DESCRIPTION","ADDRESS","CITY","ZIP.CODE","PHONE","LONGITUDE","LATITUDE","INSPECTION.BUSINESS.NAME","INSPECTION.TYPE","INSPECTION.SCORE","INSPECTION.RESULT","INSPECTION.CLOSED.BUSINESS","VIOLATION.TYPE","VIOLATION.DESCRIPTION","VIOLATION.POINTS","BUSINESS_ID","INSPECTION_SERIAL_NUM","VIOLATION_RECORD_ID","GRADE"
"133074","MR CHICKEN","MR CHICKEN","11/15/2022","Seating 13-50 - Risk Category III","516 6TH AVE S ","SEATTLE","98104","(425) 443-0598",-122.3261212837,47.5981995176,"MR CHICKEN","Routine Inspection/Field Review",20,"Unsatisfactory","false","RED","2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F)",5,"PR0066754","DA2CMDDF6","IV6WCTORD",1
"133080","MR D'S GREEK DELI","MR. D'S GREEK DELI","11/17/2022","Seating 0-12 - Risk Category III","1518 PIKE PL","Seattle","98101","(206) 622-4881",-122.341223167,47.6092230496,"MR D'S GREEK DELI","Routine Inspection/Field Review",28,"Unsatisfactory","false","BLUE","4100 - Warewashing facilities properly installed, maintained, used;",5,"PR0013484","DAQK0YRHR","IVM4ICWIG",1
"133140","MR GYRO'S","MR GYRO'S","08/30/2022","Seating 0-12 - Risk Category III","256 NE 45TH ST","SEATTLE","98105","(425) 208-9726",-122.32579654,47.66155468,"MR GYRO'S","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0084752","DAWFRS9WR","",2
"133173","MR GYROS","MR GYROS","08/31/2022","Mobile Food Unit - Risk Category III","5522 20TH AVE NW","SEATTLE","98107","(425) 208-9726",-122.34759651,47.66309244,"MR GYROS","Routine Inspection/Field Review",3,"Satisfactory","false","BLUE","4300 - Non-food contact surfaces maintained and clean",3,"PR0082471","DA0O9TQG0","IV0Y6045P",NA
"133174","MR GYROS","MR GYROS","08/02/2022","Seating 13-50 - Risk Category III","5512 20TH AVE NW","SEATTLE","98107","(425) 208-9726",-122.3818864484,47.6687880919,"MR GYROS","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0080512","DANGAHQG0","",1
"133219","MR LU SEAFOOD & BURGERS","MR LU SEAFOOD & BURGERS","04/12/2022","Seating 13-50 - Risk Category III","4752 UNIVERSITY WAY NE ","SEATTLE","98105","(206) 370-4008",-122.3127470968,47.664651738,"MR LU SEAFOOD & BURGERS","Routine Inspection/Field Review",10,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0001877","DASBWB74F","IVNRH0TIP",1
"133290","MR WEST CAFE BAR","MR WEST CAFE BAR","11/04/2022","Seating 13-50 - Risk Category II","720 OLIVE WAY STE 103","SEATTLE","98101","(206) 900-9378",-122.33485129,47.61418074,"MR WEST CAFE BAR","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0085369","DAM0TF0CU","IVLYEGZ94",2
"133303","MR WEST COFFEE CART","MR WEST COFFEE CART","08/02/2022","Mobile Food Unit - Risk Category II","2685 NE VILAGE LN","SEATTLE","98105","(206) 962-1619",-122.29804779,47.66213098,"MR WEST COFFEE CART","Routine Inspection/Field Review",0,"Complete","false","","",0,"PR0089739","DAAP0ZMUC","",NA
"133323","MR. SUSHI INC","MR. SUSHI INC","06/01/2022","Seating 51-150 - Risk Category III","1620 BROADWAY AVE #100H","SEATTLE","98122","(673) 283-5137",-122.320557,47.615794,"MR. SUSHI INC","Consultation/Education - Field",0,"Complete","false","","",0,"PR0080485","DAZRBMLZN","",2
"133336","Mr. West (Madrona)","Mr. West (Madrona)","","Seating 13-50 - Risk Category II","1134 34TH AVE","Seattle","98122","(206) 900-9378",-122.28908602,47.61268237,"","",NA,"","","","",0,"PR0090412","","",NA
"133337","MR. WEST CAFE BAR","MR. WEST CAFE BAR","08/02/2022","Seating 151-250 - Risk Category III","2685 NE VILLAGE LN","SEATTLE","98105","(512) 791-3508",-122.29804779,47.66213098,"MR. WEST CAFE BAR","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","3200 - Insects, rodents, animals not present; entrance controlled.",5,"PR0088458","DAQN31SLX","IVPAKD0DI",1
"133410","MT BREW LLC","MT BREW LLC","","Seating 151-250 - Risk Category II","8564 Greenwood AVE N","Seattle","98103","(206) 491-7943",-122.35493695,47.69175159,"","",NA,"","","","",0,"PR0089992","","",NA
"133544","MT VIEW ELEMENTARY SCHOOL","MT VIEW ELEMENTARY SCHOOL","10/24/2022","School Lunch Program - Risk II","10811 12TH AVE SW ","SEATTLE","98146","",-122.3512013065,47.5064443064,"MT VIEW ELEMENTARY SCHOOL","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0071995","DAFYOYSEJ","",NA
"133583","MT VIRGIN CHURCH","MT VIRGIN CHURCH","05/04/2018","Non-Profit Institution - Risk Category I","2800 S MASSACHUSSETTS ST ","Seattle","98144","(206) 324-8521",-122.2969652408,47.5884685449,"MT VIRGIN CHURCH","Consultation/Education - Field",0,"Complete","false","","",0,"PR0003371","DA2795603","",NA
"133719","MUDDY CUP, LLC","MUDDY CUP, LLC","01/18/2022","Seating 13-50 - Risk Category II","266 NE 45TH ST","SEATTLE","98105","(360) 388-0600",-122.32543214,47.66150768,"MUDDY CUP, LLC","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0080866","DAEYTNRMK","IVR2CZAVI",1
"133734","MUDDY WATERS COFFEE COMPANY","MUDDY WATERS COFFEE COMPANY","03/14/2022","Seating 0-12 - Risk Category I","2258 NE 65TH ST ","SEATTLE","98115","(206) 729-7587",-122.3031442164,47.6759675297,"MUDDY WATERS COFFEE COMPANY","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0070134","DADGUZ8MJ","",1
"133759","MULLEADY'S IRSH PUB","MULLEADY'S IRSH PUB","03/09/2022","Seating 51-150 - Risk Category III","3055 21ST AVE W ","Seattle","98199","(484) 620-3005",-122.3835972945,47.6482747928,"MULLEADY'S IRSH PUB","Routine Inspection/Field Review",6,"Satisfactory","false","BLUE","3800 - Utensils, equipment, linens properly stored,...",3,"PR0031913","DAKOHRQXT","IVRGJ30FR",1
"133802","MURA ASIAN EATERY","MURA ASIAN EATERY","04/02/2021","Seating 0-12 - Risk Category III","3216 W WHEELER ST","SEATTLE","98199","(206) 390-7148",-122.39916275,47.64026206,"MURA ASIAN EATERY","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0080860","DAX590YZV","",1
"133812","MURPHY'S PUB","MURPHY'S PUB","11/17/2022","Seating 51-150 - Risk Category III","1928 N 45TH ST N","SEATTLE","98103","(206) 634-2110",-122.3339634577,47.6614475541,"MURPHY'S PUB","Return Inspection",0,"Satisfactory","false","","",0,"PR0028356","DA2I40QWC","",2
"133838","MUSANG SEATTLE LLC","MUSANG SEATTLE LLC","06/25/2021","Seating 13-50 - Risk Category III","2524 BEACON AVE S","SEATTLE","98144","(347) 463-1976",-122.3127984154,47.5803392595,"MUSANG SEATTLE LLC","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0077823","DARWCXLYV","",1
"133874","MUSASHI @ NEWSROOM","MUSASHI @ NEWSROOM","05/11/2022","Seating 13-50 - Risk Category III","1448 NW MARKET ST STE 150","SEATTLE","98107","(503) 421-2432",-122.37544509,47.66893234,"MUSASHI @ NEWSROOM","Routine Inspection/Field Review",10,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0088723","DA8CXNIWZ","IVD0OLT5Y",2
"133900","MUSASHI'S SUSHI & GRILL","MUSASHI'S SUSHI & GRILL","10/04/2022","Seating 13-50 - Risk Category III","1400 N 45TH ST","SEATTLE","98103","(206) 526-8823",-122.3404709224,47.6616119286,"MUSASHI'S SUSHI & GRILL","Routine Inspection/Field Review",28,"Unsatisfactory","false","BLUE","3200 - Insects, rodents, animals not present; entrance controlled.",5,"PR0010806","DAYUZ3EQ8","IVO04PILF",1
"133957","MUSE LOUNGE SEATTLE","MUSE LOUNGE SEATTLE","","Seating 51-150 - Risk Category III","224 OCCIDENTAL AVE S","SEATTLE","98104","(206) 853-7354",-122.332511,47.600721,"","",NA,"","","","",0,"PR0086654","","",NA
"133959","MUTO SUSHI & BOWL","MUTO SUSHI & BOWL","09/13/2022","Seating 13-50 - Risk Category III","2118 NE 65TH ST ","SEATTLE","98115","(425) 212-7694",-122.3043007255,47.6759041962,"MUTO SUSHI & BOWL","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0029168","DAOX4Z0L2","IVBKQXC17",2
"133962","MUTUAL FISH CO INC","MUTUAL FISH CO INC","05/10/2022","Meat/Sea Food - Risk Category III","2335 RAINIER AVE S","Seattle","98144","(206) 322-4368",-122.3012387373,47.5819560963,"MUTUAL FISH CO INC","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0007763","DAFM6NNS6","",NA
"134005","MUY MACHO TAQUERIA","MUY MACHO TAQUERIA @ 12025 DES MOINES MEM. DR, 98198","10/14/2022","Mobile Food Unit - Risk Category III","9600 16TH SW","SEATTLE","98106","(206) 335-3953",-122.3097686191,47.4956120668,"MUY MACHO TAQUERIA","Routine Inspection/Field Review",28,"Unsatisfactory","false","BLUE","4300 - Non-food contact surfaces maintained and clean",3,"PR0080814","DAVRUCSJ0","IVLLFKLGY",NA
"134031","MY FAVORITE DELI","MY FAVORITE DELI","10/07/2022","Seating 13-50 - Risk Category III","4005 AIRPORT WAY S","SEATTLE","98108","(206) 467-1120",-122.3228369536,47.5677506149,"MY FAVORITE DELI","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","4100 - Warewashing facilities properly installed, maintained, used;",5,"PR0010870","DALHXGHOP","IVJ6YJIJE",1
"134032","MY FAVORITE DELI","MY FAVORITE DELI","07/28/2022","Seating 0-12 - Risk Category III","1301 NE 45TH ST ","SEATTLE","98105","(206) 375-8715",-122.3139411668,47.6610263204,"MY FAVORITE DELI","Consultation/Education - Field",0,"Complete","false","","",0,"PR0065286","DAXGGBIW5","",1
"134062","MY'S VIETNAMESE SANWICHES & DELI","MY'S VIETNAMESE SANWICHES & DELI","08/25/2022","Seating 0-12 - Risk Category III","12619 RENTON AVE S #A","SEATTLE","98178","(206) 518-8398",-122.23926319,47.49030115,"MY'S VIETNAMESE SANWICHES & DELI","Routine Inspection/Field Review",3,"Satisfactory","false","BLUE","3000 - Proper thawing methods used",3,"PR0087404","DAQBGTRSA","IVWOCHPGM",2
"134077","MYKONOS GREEK CAFE","MYKONOS GREEK CAFE","05/10/2022","Seating 13-50 - Risk Category III","310 NE 72ND ST ","Seattle","98115","(206) 523-8929",-122.3253175577,47.6805636417,"MYKONOS GREEK CAFE","Routine Inspection/Field Review",12,"Unsatisfactory","false","BLUE","4900 - Adequate ventilation; lighting; designated area...",2,"PR0011059","DA0FSRFTZ","IVFXQWXVX",2
"134262","NAAM THAI CUISINE","NAAM THAI CUISINE","07/28/2022","Seating 51-150 - Risk Category III","1404 34TH AVE ","Seattle","98122","(206) 324-1214",-122.289130356,47.6130918627,"NAAM THAI CUISINE","Routine Inspection/Field Review",15,"Unsatisfactory","false","RED","2200 - Accurate thermometer provided and used ...",5,"PR0034289","DAS8ANDII","IVWLNUPVC",2
"134352","NAANSENSE SEATTLE,LLC (KC704)","NAANSENSE SEATTLE LLC (KC704) @206-696-9320","08/24/2022","Mobile Food Unit - Risk Category III","521 1st AVE N","SEATTLE","98109","(206) 696-9320",-122.35574322,47.62384496,"NAANSENSE SEATTLE,LLC (KC704)","Consultation/Education - Field",0,"Complete","false","","",0,"PR0086889","DABRQCJLY","",NA
"134362","NACHO BORRACHO","NACHO BORRACHO","08/09/2022","Seating 0-12 - Risk Category II","209 BROADWAY E","SEATTLE","98102","",-122.321116,47.620361,"NACHO BORRACHO","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0086666","DAMJMO0PC","IV1J2LK06",2
"134364","NACHO MAMAS CAFE","NACHO MAMAS CAFE","","Seating 13-50 - Risk Category III","9418 DELRIDGE WAY SW ","Seattle","98106","(253) 329-1212",-122.3560064998,47.5185787045,"","",NA,"","","","",0,"PR0048932","","",1
"134391","NANA'S GREEN TEA","NANA'S GREEN TEA","10/24/2022","Seating 51-150 - Risk Category III","1007 STEWART ST #103","SEATTLE","98101","(425) 229-8983",-122.3331,47.61637,"NANA'S GREEN TEA","Routine Inspection/Field Review",10,"Satisfactory","false","RED","2500 - Toxic substances properly identified, stored, used",10,"PR0087886","DA0DRXBRD","IVYUVWUMX",2
"134484","NASAI TERIYAKI","NASAI TERIYAKI","07/05/2022","Seating 0-12 - Risk Category III","5025 25TH AVE NE ","Seattle","98105","(206) 524-3011",-122.3011985365,47.6655978194,"NASAI TERIYAKI","Consultation/Education - Field",0,"Complete","false","","",0,"PR0017130","DAQLFVXSG","",1
"134485","NASAI TERIYAKI","NASAI TERIYAKI","04/20/2022","Seating 13-50 - Risk Category III","4305 1/2 UNIVERSITY WAY NE ","SEATTLE","98105","(206) 455-3450",-122.3134098809,47.6598702627,"NASAI TERIYAKI","Routine Inspection/Field Review",5,"Unsatisfactory","false","RED","0200 - Food Worker Cards current for all food workers; new food workers trained",5,"PR0001655","DAUSNSQRE","IVABGHPHT",1
"134816","NASAI TERIYAKI #2","NASAI TERIYAKI #2","02/07/2022","Seating 13-50 - Risk Category III","3221 NE 145TH ST ","Seattle","98125","(206) 368-0080",-122.2928177357,47.7333445481,"NASAI TERIYAKI #2","Routine Inspection/Field Review",30,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0026105","DA6KDAJQC","IVT0KA2SX",2
"134970","Natalie's Candy Jar","Natalie's Candy Jar","06/01/2022","Seating 0-12 - Risk Category I","17801 International BL","Seattle","98158","(702) 385-5233",-122.302146,47.443015,"Natalie's Candy Jar","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0090317","DALXCCCYB","",1
"134971","NATALIE'S ON ALKI","NATALIE'S ON ALKI","05/20/2022","Seating 13-50 - Risk Category III","2532 Alki AVE SW","Seattle","98116","(206) 304-7977",-122.40640847,47.58060857,"NATALIE'S ON ALKI","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0089607","DA9WC3149","",1
"134975","NATHAN ECKSTEIN JR HIGH SCHOOL","NATHAN ECKSTEIN JR HIGH SCHOOL","09/26/2022","School Lunch Program - Risk II","3003 NE 75TH ST ","Seattle","98115","",-122.2948725611,47.6825887441,"NATHAN ECKSTEIN JR HIGH SCHOOL","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0001659","DAGOLJJG0","",NA
"135015","NATHAN HALE SENIOR HIGH SCHOOL","NATHAN HALE SENIOR HIGH SCHOOL","10/12/2022","School Lunch Program - Risk II","10750 30TH AVE NE ","Seattle","98125","",-122.2947272453,47.7080412307,"NATHAN HALE SENIOR HIGH SCHOOL","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0001660","DAAHH2UKG","",NA
"135158","NAVY STRENGTH","NAVY STRENGTH","11/04/2022","Seating 51-150 - Risk Category III","2505 2ND AVE STE 102","SEATTLE","98121","(206) 956-8423",-122.34842874,47.61534587,"NAVY STRENGTH","Routine Inspection/Field Review",30,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, sanitizer concentration",5,"PR0086697","DAGXQITGY","IVUSRBFJR",1
"135169","NAZARETH MARKET","NAZARETH MARKET","05/20/2022","Seating 0-12 - Risk Category III","5418 M L KING JR WAY S","SEATTLE","98118","(206) 725-9161",-122.2885059,47.5528897,"NAZARETH MARKET","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0082815","DAFLIASA2","IV3S7IDRU",1
"135256","NECTAR (FOUR 12, LLC)","NECTAR (FOUR 12, LLC)","10/14/2022","Seating 13-50 - Risk Category I","412 N 36TH ST ","SEATTLE","98103","(206) 300-3752",-122.3537809347,47.6524179575,"NECTAR (FOUR 12, LLC)","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0070207","DARMSB6SV","",1
"135340","NEIGHBORHOOD HOUSE/HIGH POINT","NEIGHBORHOOD HOUSE/HIGH POINT","03/29/2022","School Lunch Program - Risk II","6400 SYLVAN WAY SW","SEATTLE","98126","",-122.37215016,47.54486675,"NEIGHBORHOOD HOUSE/HIGH POINT","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0079663","DAWQ5PHFU","",NA
"135359","NEIGHBORHOOD HOUSE/NEW HOLLY","NEIGHBORHOOD HOUSE/NEW HOLLY","09/16/2022","School Lunch Program - Risk II","7054 32ND AVE S","Seattle","98118","(206) 461-8467",-122.2901982395,47.5389307367,"NEIGHBORHOOD HOUSE/NEW HOLLY","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0071418","DAUNRD0Q8","",NA
"135405","NEIGHBORHOOD HOUSE/RAINIER VISTA","NEIGHBORHOOD HOUSE/RAINIER VISTA","05/19/2022","School Lunch Program - Risk II","4410 29TH AVE S","SEATTLE","98108","",-122.2960926757,47.5633410552,"NEIGHBORHOOD HOUSE/RAINIER VISTA","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","2600 - Compliance with risk control plans, variances, plan of operation; valid permit; appr procedur",10,"PR0071980","DACXDF1IV","IVLRVLOJZ",NA
"135435","NEIGHBOURS SEATTLE INC","NEIGHBOURS","06/11/2021","Seating 51-150 - Risk Category III","1509 BROADWAY","Seattle","98122","",-122.3212,47.614408,"NEIGHBOURS SEATTLE INC","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0003383","DAX0JVUEP","",1
"135504","NEKO","NEKO","04/29/2022","Seating 13-50 - Risk Category II","519 E PINE ST","SEATTLE","98122","(360) 333-0007",-122.3248316649,47.615176478,"NEKO","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0087117","DAVB79HX9","",1
"135509","NEKTER","NEKTER","07/19/2022","Seating 13-50 - Risk Category II","118 Broadway E STE 3","Seattle","98102","(206) 755-9775",-122.320651,47.61922002,"NEKTER","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0089954","DAWPLXWOF","",1
"135512","NELL'S RESTAURANT, LLC","NELL'S RESTAURANT, LLC","06/08/2022","Seating 51-150 - Risk Category III","6804 E GREENLAKE WAY N ","SEATTLE","98115","(206) 524-4044",-122.3281772794,47.6781505066,"NELL'S RESTAURANT, LLC","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","4400 - Plumbing properly sized, installed,...",5,"PR0020012","DABS0GLKE","IVAVB7MO2",2
"135653","NEPTUNE THEATRE","NEPTUNE THEATRE","05/17/2022","Seating > 250 - Risk Category I","1303 NE 45TH ST","SEATTLE","98105","(206) 467-5510",-122.31389719,47.66097138,"NEPTUNE THEATRE","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0081411","DACSDZU0W","",1
"135665","NEVZAT'S ESPRESSO","NEVZAT'S ESPRESSO","08/25/2022","Limited Food Services - no permanent plumbing","12602 RENTON AVE S","Seattle","98178","(206) 772-5687",-122.239339577,47.491647189,"NEVZAT'S ESPRESSO","Routine Inspection/Field Review",5,"Satisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0055017","DANOWC5CM","IVXJ0DC5R",NA
"135698","NEW AN DONG","NEW AN DONG","06/03/2022","Grocery Store-no seating - Risk Category I","601 S KING ST ","Seattle","98104","(206) 624-1684",-122.3259875781,47.5981805736,"NEW AN DONG","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0046540","DALMUTVKH","",NA
"135755","NEW CHINA EXPRESS","NEW CHINA EXPRESS","02/27/2020","Seating 0-12 - Risk Category III","2809 THORNDYKE AVE W #A","SEATTLE","98199","(206) 779-3897",-122.383121954,47.6452901232,"NEW CHINA EXPRESS","Routine Inspection/Field Review",40,"Unsatisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0072364","DAFL1N0HL","IVHBROAXI",3
"135783","NEW DONG HING MARKET","NEW DONG HING MARKET","10/03/2022","Meat/Sea Food - Risk Category III","1001 S JACKSON ST ","SEATTLE","98104","(206) 683-5508",-122.3193516745,47.5987888808,"NEW DONG HING MARKET","Return Inspection",0,"Satisfactory","false","","",0,"PR0076790","DAQOAVW2K","",NA
"135868","NEW GOLDEN VILLAGE MARKET","NEW GOLDEN VILLAGE MARKET","04/01/2022","Meat/Sea Food - Risk Category III","9810 14TH AVE SW ","Seattle","98106","",-122.3525831696,47.5150825686,"NEW GOLDEN VILLAGE MARKET","Return Inspection",0,"Satisfactory","false","","",0,"PR0026578","DA3116336","",NA
"135960","NEW LEAF BISTRO","NEW LEAF BISTRO","06/23/2022","Seating 51-150 - Risk Category III","2342 CALIFORNIA AVE SW","SEATTLE","98116","(206) 446-1985",-122.3862099796,47.5817271228,"NEW LEAF BISTRO","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0003034","DACTZEUX8","",2
"135982","NEW LUCK TOY","NEW LUCK TOY","07/13/2022","Seating 51-150 - Risk Category III","5905 CALIFORNIA AVE SW","SEATTLE","98136","(206) 915-2629",-122.3873350972,47.5501134843,"NEW LUCK TOY","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0011504","DAQG6VMQU","",2
"136031","NEW SAIGON RESTAURANT","NEW SAIGON RESTAURANT","08/16/2022","Seating 51-150 - Risk Category III","1529 6TH AVE ","SEATTLE","98101","(206) 383-3092",-122.3349421521,47.6113526645,"NEW SAIGON RESTAURANT","Routine Inspection/Field Review",15,"Unsatisfactory","false","BLUE","3200 - Insects, rodents, animals not present; entrance controlled.",5,"PR0070158","DA7RIC3GQ","IVOSVQ6N8",2
"136083","NEW SIREN TAVERN, THE","NEW SIREN TAVERN, THE","05/16/2022","Seating 51-150 - Risk Category III","3403 4TH AVE S ","Seattle","98134","(206) 223-9167",-122.3295575816,47.5734662256,"NEW SIREN TAVERN, THE","Routine Inspection/Field Review",13,"Satisfactory","false","BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0003749","DAL2HMZG6","IVG011A9H",1
"136088","NEW STAR RESTAURANT","NEW STAR RESTAURANT","09/02/2022","Seating 51-150 - Risk Category III","516 S JACKSON ST","SEATTLE","98104","(206) 579-2632",-122.3268874375,47.5993893524,"NEW STAR RESTAURANT","Routine Inspection/Field Review",10,"Unsatisfactory","false","RED","0600 - Adequate handwashing facilities",10,"PR0052081","DALMG6MHJ","IV48XKX1Z",1
"136098","NEW START AT SALMON CREEK","NEW START AT SALMON CREEK","10/19/2022","School Lunch Program - Risk II","614 SW 120TH ST ","Seattle","98146","",-122.3414582892,47.4964219911,"NEW START AT SALMON CREEK","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0004844","DAFZWDTBF","",NA
"136215","NEW TERIYAKI  WOK","NEW TERIYAKI  WOK","06/28/2022","Seating 13-50 - Risk Category III","6540 CALIFORNIA AVE SW #C","SEATTLE","98136","(206) 932-4572",-122.3866469727,47.543661555,"NEW TERIYAKI  WOK","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0066504","DAVQBBPVW","",1
"136249","NEW TOKYO TERIYAKI","NEW TOKYO TERIYAKI","08/08/2022","Seating 13-50 - Risk Category III","22340 MARINE VIEW DR S ","Seattle","98198","(206) 824-0327",-122.3240570682,47.400708631,"NEW TOKYO TERIYAKI","Routine Inspection/Field Review",5,"Unsatisfactory","false","RED","1400 - Raw meats below and away from ready to eat food; species separated",5,"PR0020019","DACNTPYTR","IVSJU7JPB",2
"136267","NEW TOWN MARKET","NEW TOWN MARKET","03/24/2022","Seating 0-12 - Risk Category II","2801 WESTERN AVE #B","SEATTLE","98121","",-122.3532394674,47.6155912379,"NEW TOWN MARKET","Return Inspection",0,"Satisfactory","false","","",0,"PR0068172","DAUH6FNCB","",1
"136637","NEXT LEVEL BURGER","NEXT LEVEL BURGER","","Seating 13-50 - Risk Category III","1401 NW 46th ST Ste 126","SEATTLE","98107","(303) 618-1707",-122.37432259,47.66201926,"","",NA,"","","","",0,"PR0090690","","",NA
"136638","NGUYEN TRAN ENTERPRISES","NGUYEN TRAN ENTERPRISES","04/07/2022","Grocery Store-no seating - Risk Category I","3 W NICKERSON ST","Seattle","98119","",-122.3581100641,47.6496443202,"NGUYEN TRAN ENTERPRISES","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0014181","DA3OTAM4E","",NA
"136679","NHL ICE CENTER - TEAM  DINING and PREP - Sector A","NHL ICE CENTER - TEAM  DINING and PREP - Sector A","11/22/2022","Seating 13-50 - Risk Category III","10601 5TH AVE NE","SEATTLE","98125","(206) 730-9946",-122.3249562,47.70618467,"NHL ICE CENTER - TEAM  DINING and PREP - Sector A","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0089733","DAZPK3RZ8","",1
"136680","NHL Seattle Ice Centre","NHL ICE CENTER- CONCESSIONS","10/17/2022","Seating 0-12 - Risk Category I","10601 5th AVE NE","Seattle","98125","(206) 730-9946",-122.3249562,47.70618467,"NHL Seattle Ice Centre","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0089837","DASL0O1NH","",1
"136711","NICK'S ON MADISON","NICK'S ON MADISON","10/21/2022","Seating 13-50 - Risk Category III","3131 E MADISON ST 100","Seattle","98112","(206) 601-3565",-122.2912665312,47.6264829915,"NICK'S ON MADISON","Routine Inspection/Field Review",13,"Satisfactory","false","BLUE","4100 - Warewashing facilities properly installed, maintained, used;",5,"PR0040632","DA7UQYIXL","IVO0LPADB",1
"136880","NIELSEN'S PASTRIES","NIELSEN'S PASTRIES","03/31/2022","Seating 13-50 - Risk Category III","520 2ND AVE W STE A","Seattle","98119","(206) 384-6906",-122.3591102168,47.6240339392,"NIELSEN'S PASTRIES","Routine Inspection/Field Review",31,"Unsatisfactory","false","BLUE","4000 - Food and non-food surfaces properly used and...",5,"PR0046633","DAYV50LCG","IVUPL0ZEO",1
"136892","NIKFOODS LLC","NEW CATERER","09/12/2022","Caterer - Risk Category III","4634 E MARGINAL WAY S STE E120","SEATTLE","98134","(646) 322-0240",-122.33871695,47.56120838,"NIKFOODS LLC","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0088719","DAPQNH6XO","",NA
"136897","NIKKO TERIYAKI","NIKKO TERIYAKI","07/20/2022","Seating 0-12 - Risk Category III","4710 42ND AVE SW ","SEATTLE","98116","(253) 952-7502",-122.3852541771,47.5606791594,"NIKKO TERIYAKI","Consultation/Education - Field",0,"Complete","false","","",0,"PR0067368","DAPXRQABP","",2
"137057","NIKO'S GYROS","NIKO'S GYROS","08/25/2022","Seating 13-50 - Risk Category III","2231 32ND AVE W ","SEATTLE","98199","(206) 285-4778",-122.3986139499,47.6392689745,"NIKO'S GYROS","Routine Inspection/Field Review",25,"Unsatisfactory","false","BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0025942","DAICDLT0V","IVXVTHGPC",2
"137114","NIKOS GYROS","NIKOS GYROS","08/16/2021","Seating 13-50 - Risk Category III","1636 S McCLELLAN ST STE B","SEATTLE","98144","(206) 276-6193",-122.310987,47.57880752,"NIKOS GYROS","Routine Inspection/Field Review",0,"Satisfactory","false","","",0,"PR0084786","DAMBDVTWE","",1
